Space,Row,One,datetime_to_nearest_hour,id,norm_count,Ref,Cluster
1,7,1,2014-12-31 15:00:00,24,0.5609756097560976,61,2
1,7,1,2014-12-31 16:00:00,20,0.4634146341463415,61,2
1,7,1,2014-12-31 17:00:00,21,0.4878048780487805,61,2
1,7,1,2014-12-31 18:00:00,42,1.0,61,2
1,7,1,2014-12-31 19:00:00,28,0.6585365853658537,61,2
1,7,1,2014-12-31 20:00:00,15,0.34146341463414637,61,2
1,7,1,2014-12-31 21:00:00,11,0.24390243902439024,61,2
1,7,1,2014-12-31 22:00:00,18,0.4146341463414634,61,2
1,7,1,2014-12-31 23:00:00,11,0.24390243902439024,61,2
1,7,1,2015-01-01 00:00:00,31,0.7317073170731707,61,2
1,7,1,2015-01-01 01:00:00,15,0.34146341463414637,61,2
1,7,1,2015-01-01 02:00:00,12,0.2682926829268293,61,2
1,7,1,2015-01-01 03:00:00,3,0.04878048780487805,61,2
1,7,1,2015-01-01 04:00:00,2,0.024390243902439025,61,2
1,7,1,2015-01-01 05:00:00,6,0.12195121951219512,61,2
1,7,1,2015-01-01 06:00:00,6,0.12195121951219512,61,2
1,7,1,2015-01-01 07:00:00,3,0.04878048780487805,61,2
1,7,1,2015-01-01 08:00:00,8,0.17073170731707318,61,2
1,7,1,2015-01-01 09:00:00,18,0.4146341463414634,61,2
1,7,1,2015-01-01 10:00:00,16,0.36585365853658536,61,2
1,7,1,2015-01-01 11:00:00,21,0.4878048780487805,61,2
1,7,1,2015-01-01 12:00:00,26,0.6097560975609756,61,2
1,7,1,2015-01-01 13:00:00,17,0.3902439024390244,61,2
1,7,1,2015-01-01 14:00:00,10,0.21951219512195122,61,2
1,7,1,2015-01-01 15:00:00,9,0.1951219512195122,61,2
1,7,1,2015-01-01 16:00:00,16,0.36585365853658536,61,2
1,7,1,2015-01-01 17:00:00,31,0.7317073170731707,61,2
1,7,1,2015-01-01 18:00:00,34,0.8048780487804879,61,2
1,7,1,2015-01-01 19:00:00,25,0.5853658536585366,61,2
1,7,1,2015-01-01 20:00:00,22,0.5121951219512195,61,2
1,7,1,2015-01-01 21:00:00,25,0.5853658536585366,61,2
1,7,1,2015-01-01 22:00:00,15,0.34146341463414637,61,2
1,7,1,2015-01-01 23:00:00,13,0.2926829268292683,61,2
1,7,1,2015-02-01 00:00:00,6,0.12195121951219512,61,2
1,7,1,2015-02-01 01:00:00,4,0.07317073170731707,61,2
1,7,1,2015-02-01 02:00:00,3,0.04878048780487805,61,2
1,7,1,2015-02-01 03:00:00,1,0.0,61,2
1,8,1,2014-12-31 06:00:00,1,0.0,71,0
1,8,1,2014-12-31 08:00:00,1,0.0,71,0
1,8,1,2014-12-31 10:00:00,6,0.35714285714285715,71,0
1,8,1,2014-12-31 11:00:00,3,0.14285714285714285,71,0
1,8,1,2014-12-31 12:00:00,5,0.2857142857142857,71,0
1,8,1,2014-12-31 13:00:00,4,0.21428571428571427,71,0
1,8,1,2014-12-31 14:00:00,4,0.21428571428571427,71,0
1,8,1,2014-12-31 15:00:00,7,0.42857142857142855,71,0
1,8,1,2014-12-31 16:00:00,7,0.42857142857142855,71,0
1,8,1,2014-12-31 17:00:00,6,0.35714285714285715,71,0
1,8,1,2014-12-31 18:00:00,2,0.07142857142857142,71,0
1,8,1,2014-12-31 19:00:00,6,0.35714285714285715,71,0
1,8,1,2014-12-31 20:00:00,10,0.6428571428571429,71,0
1,8,1,2014-12-31 21:00:00,3,0.14285714285714285,71,0
1,8,1,2014-12-31 22:00:00,3,0.14285714285714285,71,0
1,8,1,2014-12-31 23:00:00,12,0.7857142857142857,71,0
1,8,1,2015-01-01 00:00:00,11,0.7142857142857143,71,0
1,8,1,2015-01-01 01:00:00,7,0.42857142857142855,71,0
1,8,1,2015-01-01 02:00:00,5,0.2857142857142857,71,0
1,8,1,2015-01-01 04:00:00,1,0.0,71,0
1,8,1,2015-01-01 05:00:00,1,0.0,71,0
1,8,1,2015-01-01 08:00:00,1,0.0,71,0
1,8,1,2015-01-01 09:00:00,2,0.07142857142857142,71,0
1,8,1,2015-01-01 10:00:00,2,0.07142857142857142,71,0
1,8,1,2015-01-01 12:00:00,9,0.5714285714285714,71,0
1,8,1,2015-01-01 13:00:00,11,0.7142857142857143,71,0
1,8,1,2015-01-01 14:00:00,15,1.0,71,0
1,8,1,2015-01-01 15:00:00,4,0.21428571428571427,71,0
1,8,1,2015-01-01 16:00:00,11,0.7142857142857143,71,0
1,8,1,2015-01-01 17:00:00,6,0.35714285714285715,71,0
1,8,1,2015-01-01 18:00:00,3,0.14285714285714285,71,0
1,8,1,2015-01-01 19:00:00,10,0.6428571428571429,71,0
1,8,1,2015-01-01 20:00:00,5,0.2857142857142857,71,0
1,8,1,2015-01-01 21:00:00,3,0.14285714285714285,71,0
1,8,1,2015-01-01 22:00:00,2,0.07142857142857142,71,0
